school_name,urn,borough,lsoa_code,lsoa_name,lon,lat,primary_secondary,school_type,admissions_type,gender,denomination,num_pupils,num_boys,num_girls,boy_girl_r,pupils_per_teacher,pct_esl,pct_fsm,pct_attainment,pct_absences,pct_unaut_absence,mean_distance,income_score,employment_score,crime_score,education_skills_score,health_score,ofsted
Bishop Winnington-Ingram CofE Primary School,102417,Hillingdon,E01002539,Hillingdon 005D,-0.434540442,51.57782681,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,434,225,210,1.1,19.8,0.132,0.141,0.78,0.0640238,0.0194258,2.483556601,0.058,0.047,-0.225,6.321,-0.9,3
Holy Trinity CofE Primary School,102418,Hillingdon,E01002475,Hillingdon 001B,-0.437146805,51.61416376,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,233,105,130,0.8,19.4,0.25,0.081,0.9,0.0483129,0.0155505,2.342567346,0.118,0.122,-0.86,7.387,0.085,2
Dr Triplett's CofE Primary School,102420,Hillingdon,E01002508,Hillingdon 026E,-0.416417273,51.51792889,Primary,Voluntary aided school,Non-selective,Mixed,Church of England,473,240,230,1,20.5,0.518,0.146,0.69,0.0466282,0.0105329,1.524064168,0.223,0.142,1.294,26.853,0.09,3
St Swithun Wells Catholic Primary School,102421,Hillingdon,E01002416,Hillingdon 008A,-0.392044176,51.56415925,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,228,115,115,1,18.6,0.233,0.034,0.82,0.0398286,0.0039543,0.92839032,0.056,0.034,-0.46,16.021,-0.99,1
Botwell House Catholic Primary School,102422,Hillingdon,E01002406,Hillingdon 027B,-0.420734065,51.50771794,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,703,385,320,1.2,20.2,0.687,0.095,0.7,0.0520586,0.0120089,1.819607736,0.151,0.119,0.395,17.936,-0.429,2
St Bernadette Catholic Primary School,102423,Hillingdon,E01002456,Hillingdon 017C,-0.450963974,51.54005254,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,473,240,230,1,22.9,0.288,0.05,0.85,0.0521645,0.0016898,1.641336983,0.121,0.077,0.122,18.143,0.155,2
St Catherine Catholic Primary School,102424,Hillingdon,E01002527,Hillingdon 031D,-0.478817578,51.5038909,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,237,125,110,1.1,26.4,0.452,0.156,0.7,0.0524459,0.0022362,1.378029676,0.197,0.117,0.728,22.445,0.292,2
St Mary's Catholic Primary School,102425,Hillingdon,E01002520,Hillingdon 016B,-0.48683246,51.54376718,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,243,120,125,1,19.1,0.479,0.068,0.93,0.0472867,0.0024216,1.935810926,0.164,0.092,-0.79,18.901,-0.383,1
Sacred Heart Catholic Primary School,102426,Hillingdon,E01002467,Hillingdon 009B,-0.424555059,51.56776564,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,686,340,350,1,22.8,0.213,0.059,0.83,0.0396982,0.0022998,2.052749623,0.044,0.041,-0.444,7.922,-0.92,1
Oak Farm Infant School,102430,Hillingdon,E01002451,Hillingdon 014B,-0.447857926,51.54403103,Primary,Foundation school,Not applicable,Mixed,No religious character,366,185,185,1,20.4,0.591,0.081,NA,0.0570661,0.0108107,NA,0.051,0.045,-0.223,8.891,-0.789,1
